TIME, NECK_x,NECK_y,NECK_z,SHOULDER_LEFT_x, SHOULDER_LEFT_y, SHOULDER_LEFT_z,ELBOW_LEFT_x, ELBOW_LEFT_y, ELBOW_LEFT_z, WRIST_LEFT_x, WRIST_LEFT_y, WRIST_LEFT_z, HAND_LEFT_x, HAND_LEFT_y, HAND_LEFT_z,SHOULDER_RIGHT_x, SHOULDER_RIGHT_y, SHOULDER_RIGHT_z,ELBOW_RIGHT_x, ELBOW_RIGHT_y, ELBOW_RIGHT_z, WRIST_RIGHTT_x, WRIST_RIGHT_y, WRIST_RIGHT_z, HAND_RIGHT_x, HAND_RIGHT_y, HAND_RIGHT_z
03:34:09:1730608307,-71.447609,-241.613663,617.158875,21.069319,-181.494919,517.925781,32.354053,2.614766,393.022217,-134.989990,67.849411,341.080536,-195.329117,90.564537,297.852264,-165.194611,-193.315750,709.525879,-299.496002,-10.895520,723.881165,-353.537842,69.393326,561.150269,-399.733765,98.505310,497.873688
03:34:10:1730608433,-49.064552,-243.531311,657.921387,27.146214,-173.064941,547.410706,9.307207,-5.263627,398.270294,-171.070038,4.960717,342.704865,-235.735565,4.453462,298.248322,-147.170853,-199.550797,748.808899,-319.589508,-51.198959,779.126343,-394.763763,-24.814581,605.083374,-448.062897,-22.849730,539.548645
03:34:10:1730608562,-43.959625,-245.313583,695.859009,55.305973,-182.095428,598.616516,31.827888,-14.793247,448.424530,-139.693283,-3.724479,368.087524,-202.764328,5.949922,321.903900,-149.789993,-193.991318,775.016174,-330.184845,-55.825310,812.679321,-468.022552,-16.413094,684.770813,-441.080017,-2.985688,605.481323
03:34:10:1730608707,-43.254070,-245.814682,727.776978,73.296127,-191.170502,645.223022,134.181168,-4.802376,531.815430,-27.531088,26.721907,436.978394,-100.127014,12.663139,409.387726,-152.576172,-189.605148,798.723206,-339.226746,-55.237831,817.902527,-471.301727,-15.925173,683.477295,-442.571167,-2.280435,604.674377
03:34:10:1730608835,-44.055382,-249.989685,774.602600,85.268463,-192.126999,703.634888,167.737320,-2.630785,593.270752,17.918692,5.547037,466.171326,-58.254555,7.245697,436.852905,-160.708420,-189.440262,841.734314,-352.330688,-47.791855,827.472839,-412.930573,-38.402599,638.022522,-429.603851,-6.234102,557.935730
03:34:10:1730608961,-40.649040,-246.727173,799.525513,97.638634,-213.043381,730.156250,225.854004,-32.953114,643.844299,75.027603,-51.707329,515.101562,54.489155,-75.671272,438.665283,-160.935944,-183.549347,859.134644,-360.163940,-48.704491,834.686035,-380.072479,-60.272003,634.297180,-417.159271,-21.618053,563.173218
03:34:10:1730609108,-43.385677,-250.551636,819.280701,103.456345,-212.252609,762.662720,248.487411,-20.758747,763.142700,186.642075,-128.763733,604.526489,177.037811,-205.826431,573.291931,-167.580902,-179.897659,866.272888,-370.345978,-45.461372,839.414551,-331.743530,-81.802086,642.249878,-378.380524,-44.574188,574.708130
03:34:10:1730609234,-41.165421,-253.835373,830.095276,107.277527,-212.326401,777.756714,248.128799,-16.389296,783.530579,214.258652,-170.582947,656.564392,212.573593,-254.671158,657.444763,-168.968643,-182.232285,869.472351,-371.687622,-46.177074,839.753357,-297.042297,-92.664017,654.399597,-335.653870,-67.383034,576.478943
03:34:11:1730609361,-44.626198,-254.066940,829.969421,105.336037,-218.006409,774.278137,244.522873,-18.666357,770.151306,199.430969,-173.413223,644.967041,221.128525,-252.660843,665.660522,-171.252899,-180.483917,871.272095,-374.707886,-43.477119,836.343018,-285.181793,-109.245087,662.067871,-311.348785,-82.103859,578.991638
03:34:11:1730609507,-46.607136,-251.276886,816.122498,97.965324,-205.418335,756.211487,227.517929,-2.914652,768.319092,146.839859,-126.818451,630.649780,171.519196,-203.766907,608.182495,-171.030685,-180.473526,863.934448,-372.999084,-43.851345,837.583557,-286.839600,-119.702736,668.240967,-307.719391,-89.305878,585.804138
