TIME, ID, w, x, y, z, x, y, z
20:20:18:1186176557,100-0,0.972600,0.140300,0.181100,-0.038000,-0.033000,0.016000,0.041000,91 
20:20:18:1186176571,100-1,-0.456500,0.105400,-0.002400,-0.883400,0.007000,0.008000,-0.001000,82 
20:20:18:1186176571,100-0,0.971700,0.138300,0.187200,-0.037700,-0.014000,0.033000,0.051000,91 
20:20:18:1186176587,100-1,-0.458000,0.104500,-0.006100,-0.882700,-0.040000,-0.007000,0.003000,82 
20:20:18:1186176587,100-0,0.971200,0.134900,0.192200,-0.038700,-0.007000,-0.015000,0.050000,91 
20:20:18:1186176603,100-1,-0.459300,0.104300,-0.009700,-0.882000,0.003000,0.008000,-0.001000,82 
20:20:18:1186176603,100-0,0.970900,0.130400,0.196100,-0.040900,0.048000,-0.011000,-0.049000,91 
20:20:18:1186176619,100-1,-0.460800,0.104100,-0.013600,-0.881200,-0.004000,-0.022000,-0.015000,82 
20:20:18:1186176619,100-0,0.970800,0.127200,0.198600,-0.042700,0.041000,-0.021000,-0.045000,91 
20:20:18:1186176628,100-1,-0.462100,0.104000,-0.016600,-0.880500,0.001000,-0.034000,-0.013000,82 
20:20:18:1186176635,100-0,0.970800,0.125500,0.199600,-0.043600,0.040000,-0.001000,-0.032000,91 
20:20:18:1186176637,100-1,-0.462900,0.103800,-0.019200,-0.880000,0.008000,-0.018000,-0.014000,82 
20:20:18:1186176651,100-0,0.970800,0.124600,0.199900,-0.043900,0.004000,-0.011000,-0.010000,91 
20:20:18:1186176653,100-1,-0.463400,0.103600,-0.021300,-0.879800,-0.007000,-0.017000,-0.005000,82 
20:20:18:1186176667,100-0,0.970900,0.123800,0.199800,-0.043800,-0.030000,0.014000,0.048000,91 
20:20:18:1186176683,100-1,-0.463500,0.103500,-0.023100,-0.879700,-0.013000,0.007000,0.000000,82 
20:20:18:1186176683,100-0,0.971000,0.122500,0.200100,-0.043900,-0.042000,0.023000,0.019000,91 
20:20:18:1186176699,100-1,-0.463600,0.103700,-0.024900,-0.879500,-0.005000,0.010000,-0.001000,82 
20:20:18:1186176699,100-0,0.970700,0.120800,0.202400,-0.044500,-0.035000,0.013000,0.013000,91 
20:20:18:1186176715,100-1,-0.463800,0.103700,-0.026700,-0.879400,0.000000,0.012000,-0.001000,82 
20:20:18:1186176715,100-0,0.970200,0.118400,0.205900,-0.045800,-0.006000,0.016000,0.014000,91 
20:20:18:1186176731,100-1,-0.464400,0.103700,-0.028800,-0.879000,0.001000,0.015000,0.008000,82 
20:20:18:1186176733,100-0,0.970000,0.115700,0.208100,-0.047500,0.019000,-0.014000,-0.010000,91 
20:20:18:1186176745,100-1,-0.465100,0.103500,-0.030900,-0.878600,-0.001000,-0.003000,-0.022000,82 
20:20:18:1186176747,100-0,0.970200,0.113200,0.208400,-0.049100,0.013000,0.002000,-0.021000,91 
20:20:18:1186176760,100-1,-0.466100,0.103100,-0.032400,-0.878000,0.009000,-0.012000,0.000000,82 
20:20:18:1186176763,100-0,0.970500,0.111100,0.207800,-0.050600,-0.020000,0.004000,0.020000,91 
20:20:18:1186176775,100-1,-0.467100,0.102700,-0.033800,-0.877500,-0.005000,0.007000,0.016000,82 
20:20:18:1186176779,100-0,0.970900,0.108800,0.206800,-0.051800,-0.098000,0.039000,0.088000,91 
20:20:18:1186176794,100-1,-0.468200,0.103000,-0.035800,-0.876800,-0.023000,0.024000,0.027000,82 
20:20:18:1186176795,100-0,0.971200,0.105500,0.206200,-0.054000,-0.045000,0.045000,0.101000,91 
20:20:18:1186176810,100-1,-0.469400,0.103700,-0.039100,-0.875900,-0.011000,0.025000,0.000000,82 
20:20:18:1186176811,100-0,0.970800,0.100200,0.209900,-0.057400,-0.011000,0.030000,0.063000,91 
20:20:18:1186176825,100-1,-0.470900,0.104400,-0.043100,-0.874800,0.005000,-0.007000,-0.006000,82 
20:20:18:1186176827,100-0,0.969200,0.092600,0.219300,-0.061900,0.090000,0.001000,0.076000,91 
20:20:18:1186176840,100-1,-0.472500,0.105300,-0.047100,-0.873600,-0.003000,-0.036000,-0.024000,82 
20:20:18:1186176843,100-0,0.967400,0.083600,0.228900,-0.068000,0.082000,-0.022000,0.049000,91 
20:20:18:1186176855,100-1,-0.474200,0.106500,-0.049500,-0.872500,0.035000,-0.068000,-0.002000,82 
20:20:18:1186176859,100-0,0.966100,0.074100,0.235800,-0.073700,0.114000,-0.004000,-0.129000,91 
20:20:18:1186176875,100-1,-0.475200,0.107600,-0.051200,-0.871700,0.038000,-0.040000,0.001000,82 
20:20:18:1186176875,100-0,0.965600,0.068300,0.238800,-0.076500,0.006000,0.005000,-0.078000,91 
20:20:18:1186176891,100-1,-0.475300,0.108700,-0.052900,-0.871400,-0.002000,0.006000,0.009000,82 
20:20:18:1186176891,100-0,0.965300,0.063900,0.240600,-0.078000,-0.122000,-0.003000,0.036000,91 
20:20:18:1186176907,100-1,-0.475300,0.109800,-0.055200,-0.871100,-0.022000,0.041000,0.031000,82 
20:20:18:1186176907,100-0,0.965500,0.059300,0.240300,-0.079700,-0.141000,0.043000,0.121000,91 
20:20:18:1186176923,100-1,-0.475500,0.111500,-0.058800,-0.870600,-0.049000,0.084000,0.028000,82 
20:20:18:1186176925,100-0,0.966400,0.053700,0.237200,-0.082000,-0.075000,0.028000,0.114000,91 
20:20:18:1186176939,100-1,-0.475700,0.113800,-0.064100,-0.869700,-0.027000,0.040000,-0.015000,82 
20:20:18:1186176941,100-0,0.967100,0.045400,0.234600,-0.086600,-0.005000,0.012000,-0.005000,91 
20:20:18:1186176955,100-1,-0.476300,0.116500,-0.069800,-0.868600,0.000000,0.013000,-0.020000,82 
20:20:18:1186176955,100-0,0.967800,0.036200,0.231500,-0.091300,0.021000,0.006000,-0.135000,91 
20:20:18:1186176961,100-1,-0.476900,0.118800,-0.075400,-0.867500,0.036000,0.019000,0.014000,82 
20:20:18:1186176971,100-0,0.968500,0.029500,0.228000,-0.094800,-0.047000,-0.018000,-0.095000,91 
20:20:18:1186176987,100-1,-0.477400,0.120600,-0.080800,-0.866500,0.007000,0.040000,0.016000,82 
20:20:18:1186176987,100-0,0.968800,0.024500,0.225800,-0.098300,-0.159000,0.008000,0.007000,91 
20:20:18:1186176993,100-1,-0.478000,0.122200,-0.086900,-0.865400,-0.024000,0.094000,0.040000,82 
20:20:18:1186177003,100-0,0.969100,0.019700,0.223100,-0.102800,-0.256000,0.027000,0.050000,91 
20:20:18:1186177019,100-1,-0.478700,0.124300,-0.095400,-0.863800,-0.050000,0.133000,0.067000,82 
20:20:18:1186177019,100-0,0.969200,0.014300,0.220000,-0.109300,-0.278000,0.031000,0.002000,91 
20:20:18:1186177035,100-1,-0.479900,0.127400,-0.107000,-0.861300,-0.047000,0.115000,0.055000,82 
20:20:18:1186177035,100-0,0.968600,0.009200,0.218800,-0.117400,-0.137000,0.049000,-0.043000,91 
20:20:18:1186177047,100-1,-0.482300,0.131300,-0.120500,-0.857600,-0.028000,0.090000,0.040000,82 
20:20:18:1186177051,100-0,0.967400,0.004800,0.218900,-0.126600,-0.133000,0.028000,0.108000,91 
20:20:18:1186177067,100-1,-0.485800,0.136000,-0.133500,-0.852900,-0.024000,0.009000,0.034000,82 
20:20:18:1186177067,100-0,0.966600,-0.000800,0.216400,-0.137000,-0.049000,0.082000,0.066000,91 
20:20:18:1186177083,100-1,-0.490000,0.141700,-0.145100,-0.847700,-0.007000,-0.074000,0.077000,82 
20:20:18:1186177083,100-0,0.966200,-0.005600,0.210700,-0.147700,0.251000,-0.005000,0.057000,91 
20:20:18:1186177099,100-1,-0.494400,0.148600,-0.154000,-0.842400,0.081000,-0.120000,0.009000,82 
20:20:18:1186177099,100-0,0.966000,-0.013400,0.206500,-0.154700,0.390000,0.000000,-0.243000,91 
20:20:18:1186177110,100-1,-0.497700,0.155000,-0.160000,-0.838100,0.128000,-0.160000,-0.057000,82 
20:20:18:1186177115,100-0,0.966700,-0.017600,0.200600,-0.157300,0.391000,-0.064000,-0.176000,91 
20:20:18:1186177117,100-1,-0.499400,0.159400,-0.163300,-0.835700,0.103000,-0.173000,-0.099000,82 
20:20:18:1186177131,100-0,0.968000,-0.020300,0.193500,-0.157800,0.182000,0.012000,-0.058000,91 
20:20:18:1186177133,100-1,-0.499700,0.161800,-0.165100,-0.834700,0.067000,-0.077000,-0.051000,82 
20:20:18:1186177147,100-0,0.969400,-0.022800,0.186400,-0.157700,0.055000,-0.022000,0.027000,91 
20:20:18:1186177149,100-1,-0.499600,0.163200,-0.167000,-0.834100,-0.017000,-0.062000,0.052000,82 
20:20:18:1186177163,100-0,0.969700,-0.025300,0.183500,-0.158600,-0.047000,-0.006000,0.075000,91 
20:20:18:1186177165,100-1,-0.499600,0.165500,-0.169400,-0.833200,-0.038000,-0.010000,0.051000,82 
20:20:18:1186177179,100-0,0.969600,-0.028600,0.182300,-0.160500,-0.069000,0.008000,0.069000,91 
20:20:18:1186177181,100-1,-0.500300,0.168800,-0.171700,-0.831600,-0.027000,-0.001000,0.019000,82 
20:20:18:1186177195,100-0,0.969400,-0.032700,0.180700,-0.162800,0.031000,-0.001000,-0.099000,91 
20:20:18:1186177197,100-1,-0.501200,0.172900,-0.173300,-0.829900,0.008000,-0.010000,-0.030000,82 
20:20:18:1186177211,100-0,0.969100,-0.035900,0.180000,-0.164100,0.055000,-0.043000,-0.120000,91 
20:20:18:1186177213,100-1,-0.502100,0.176600,-0.174300,-0.828400,0.015000,-0.029000,-0.064000,82 
20:20:18:1186177227,100-0,0.969300,-0.037800,0.178600,-0.164500,0.023000,-0.031000,-0.081000,91 
20:20:18:1186177242,100-1,-0.502900,0.179400,-0.174400,-0.827300,-0.011000,-0.007000,-0.033000,82 
20:20:18:1186177243,100-0,0.969700,-0.038700,0.175900,-0.164500,-0.051000,-0.001000,0.030000,91 
20:20:18:1186177245,100-1,-0.503900,0.181600,-0.174000,-0.826200,-0.017000,0.014000,0.001000,82 
