TIME, NECK_x,NECK_y,NECK_z,SHOULDER_LEFT_x, SHOULDER_LEFT_y, SHOULDER_LEFT_z,ELBOW_LEFT_x, ELBOW_LEFT_y, ELBOW_LEFT_z, WRIST_LEFT_x, WRIST_LEFT_y, WRIST_LEFT_z, HAND_LEFT_x, HAND_LEFT_y, HAND_LEFT_z,SHOULDER_RIGHT_x, SHOULDER_RIGHT_y, SHOULDER_RIGHT_z,ELBOW_RIGHT_x, ELBOW_RIGHT_y, ELBOW_RIGHT_z, WRIST_RIGHTT_x, WRIST_RIGHT_y, WRIST_RIGHT_z, HAND_RIGHT_x, HAND_RIGHT_y, HAND_RIGHT_z
03:21:55:1729874078,55.880764,-220.013977,790.119629,161.021500,-161.901337,685.582031,260.289948,10.327771,562.713562,129.152267,-98.081360,465.130676,94.912216,-147.858292,410.530975,-72.070015,-160.895187,833.396240,-282.734680,-51.313957,815.729431,-337.820068,-77.132286,626.649475,-347.725220,-80.524513,539.596863
03:21:55:1729874131,66.814583,-218.618118,800.154358,186.731659,-169.577637,706.880127,266.979401,-8.691936,554.604858,175.194290,-181.810974,527.961670,114.972351,-214.566055,482.787506,-59.070007,-159.384033,849.186340,-270.582367,-46.092590,841.470520,-297.237610,-121.794678,658.005127,-310.885101,-114.415054,570.979370
03:21:55:1729874194,82.591461,-212.343353,814.589172,205.376419,-167.177917,726.047607,302.680847,-17.353148,574.939453,213.161652,-191.297501,557.699219,152.582336,-237.028320,527.924194,-43.816231,-152.614105,859.555420,-252.291595,-37.446186,870.274597,-262.727509,-152.008820,708.050537,-261.164246,-171.602005,622.490417
03:21:55:1729874319,103.331871,-209.401672,847.602112,236.293198,-157.525558,770.226135,373.961273,-0.594422,651.267212,274.844482,-174.414871,626.160400,241.663300,-251.269943,627.599731,-30.794344,-150.303558,884.065735,-239.133835,-22.007584,892.489136,-204.925156,-206.506485,811.903381,-201.293777,-239.407196,728.052490
03:21:56:1729874465,121.084023,-202.345520,879.728333,261.112762,-150.920456,811.585815,405.299133,13.243288,703.318481,316.996002,-170.427551,684.492737,309.079224,-250.194962,712.676453,-17.462925,-143.468765,909.746277,-218.603012,2.300069,914.896362,-180.654465,-195.388977,865.571350,-150.671463,-280.909973,853.028137
03:21:56:1729874591,134.032562,-197.636459,906.193359,269.319916,-137.306351,839.012634,413.156464,33.270313,749.957581,345.481232,-155.400803,728.031128,357.289276,-232.279221,758.986328,-4.181810,-137.645798,928.901367,-202.950531,5.042866,936.086609,-161.118805,-193.463684,912.878479,-130.023132,-273.968109,938.890015
03:21:56:1729874720,138.125397,-189.136826,928.243408,274.736481,-131.744232,864.171143,425.959869,33.644482,779.358826,353.229156,-152.429108,756.287842,375.407288,-230.584229,775.556885,-2.212360,-134.799149,947.096313,-201.838852,5.278349,958.742310,-162.123596,-192.878448,933.593872,-110.703751,-265.973206,943.355042
03:21:56:1729874864,139.604126,-181.778519,941.550232,273.174774,-121.664841,877.128845,431.440247,41.443966,809.853577,348.719574,-134.875778,769.320984,352.895599,-216.894714,778.078186,-0.503078,-130.393036,957.444641,-196.797867,9.401381,973.257690,-164.509735,-186.888062,941.470337,-107.225525,-253.455994,955.444336
03:21:56:1729874992,135.778427,-180.345779,945.690308,270.415405,-121.092621,882.538147,433.920837,41.919529,828.914856,343.788239,-126.003685,771.862244,352.047943,-207.943420,778.137634,-4.710965,-129.046738,957.527222,-198.356033,7.709280,1003.654724,-167.764740,-174.675232,923.745483,-119.976837,-246.688934,944.696655
03:21:56:1729875120,128.448166,-179.576721,944.708496,262.679169,-121.238060,877.610474,423.618591,45.662724,823.822815,349.641510,-133.378571,775.053894,361.876617,-214.811951,784.926025,-12.725308,-128.238159,954.502625,-200.940247,9.114996,1021.760010,-186.890289,-172.395569,933.555481,-150.824051,-247.351791,966.040649
03:21:56:1729875264,127.902405,-177.357574,940.828186,261.578308,-119.165886,877.301331,420.253113,46.701805,827.419922,319.136658,-105.362282,753.113464,311.406219,-184.372681,773.047180,-10.711588,-124.716339,949.835022,-196.250351,9.785950,1018.900146,-170.841660,-157.904831,913.572144,-157.623184,-232.218948,959.068176
03:21:57:1729875392,123.602936,-184.411819,946.915039,258.432037,-124.704613,876.856750,412.890656,48.487633,813.681885,331.198639,-121.578056,741.906494,334.616699,-203.265396,760.317871,-17.332174,-126.467003,955.269104,-199.291534,27.332306,1012.627869,-191.746826,-149.754501,910.799011,-193.214981,-231.048996,949.934204
03:21:57:1729875519,124.063934,-182.603271,943.493469,259.091034,-124.821663,878.331116,414.937805,47.322021,829.967896,316.149353,-103.773994,746.045105,297.300995,-184.214249,743.736877,-15.275754,-126.545403,950.805298,-205.407715,11.785805,1006.696960,-197.919647,-150.349411,887.122498,-182.580795,-233.792419,913.985107
03:21:57:1729875665,120.698456,-183.079575,940.644836,255.339172,-124.532936,876.044739,404.300079,51.971943,824.915527,307.108246,-100.443062,742.805420,288.006439,-180.530014,746.757385,-18.132105,-126.614555,946.719116,-208.797852,9.730607,1002.856750,-203.045670,-144.061996,873.482483,-178.079971,-226.810547,893.640320
03:21:57:1729875791,111.803947,-185.219971,948.406555,252.259827,-128.659576,886.097595,403.725677,55.095211,839.828186,298.826233,-91.518372,745.193115,295.429810,-175.091095,757.420776,-31.670504,-130.351624,952.100525,-234.972351,4.890189,990.497559,-284.600159,-131.738907,844.275146,-256.288391,-216.646118,827.748840
03:21:57:1729875919,107.015625,-184.358292,950.744202,247.244812,-126.356392,889.368408,399.998474,57.907120,851.434998,283.932343,-68.502457,742.265747,280.197571,-131.534302,798.333313,-37.491722,-133.807068,948.391724,-263.901611,-36.089828,960.987244,-374.500732,-104.475708,801.256775,-412.181335,-181.563904,771.186951
03:21:57:1729876064,84.933372,-185.909256,948.486023,232.599884,-131.164856,905.383301,387.048035,51.764145,867.551758,284.773468,-62.142448,733.574524,277.595123,-134.574997,776.414856,-57.873539,-132.807739,936.482361,-286.990631,-40.634312,935.132751,-416.349579,-79.287811,779.533020,-488.683624,-106.706512,731.722717
03:21:57:1729876193,60.112312,-177.506592,939.428894,208.417175,-131.006332,900.613037,369.668549,39.953308,858.733459,253.532318,-18.083323,706.138367,218.647385,-83.249611,744.287231,-79.981697,-125.163795,930.850464,-305.488525,-40.662086,896.706909,-428.375366,-63.177204,736.845276,-504.750854,-106.436897,719.048950
03:21:57:1729876319,38.785332,-182.020996,944.384338,191.457672,-140.050659,909.168945,357.151672,36.067501,890.946411,215.094925,58.088066,746.866821,138.217041,26.690300,762.488403,-102.228325,-125.889870,926.605042,-324.918335,-38.283096,865.087097,-461.035126,-50.295677,710.791138,-533.651978,-104.682205,717.614502
03:21:58:1729876464,26.341333,-183.786835,938.537781,181.771271,-144.498352,907.133362,355.197388,25.803566,886.401917,210.086166,55.020794,744.946350,131.333557,27.800741,761.761780,-113.900635,-124.594711,921.074219,-336.340363,-37.745476,852.081909,-462.550262,-48.860359,687.959534,-534.540771,-99.193634,713.666138
03:21:58:1729876592,12.080634,-179.023987,936.281189,168.449814,-146.655334,912.337646,342.596100,17.697990,885.128357,203.878830,67.743614,746.686035,129.579605,33.475609,765.590515,-122.778732,-116.094131,909.906311,-343.317902,-42.797729,830.610718,-477.177277,-45.696392,675.597839,-539.546875,-97.870125,715.139771
